project,testClassName,testMethodName,ExecutionTime
Achilles,info.archinnov.achilles.it.TestDynamicKeyspaceWithUDTJSON,should_crud_delete_json_with_dynamic_ks,15.308
Achilles,info.archinnov.achilles.it.TestDynamicKeyspaceWithUDTJSON,should_crud_insert_json_with_dynamic_ks,0.301
Achilles,info.archinnov.achilles.it.TestDynamicKeyspaceWithUDTJSON,should_crud_select_json_with_dynamic_ks,0.447
Achilles,info.archinnov.achilles.it.TestEntityWithIndicesForJSON,should_query_using_index_and_partition_key_asJSON,16.774
Achilles,info.archinnov.achilles.it.TestEntityWithIndicesForJSON,should_query_using_map_key_entry_fromJSON,0.449
Achilles,info.archinnov.achilles.it.TestEntityWithIndicesForJSON,should_query_using_index_and_clustering_column_fromJSON,0.354
Achilles,info.archinnov.achilles.it.TestEntityWithIndicesForJSON,should_query_using_full_collection_index_fromJSON,0.408
Achilles,info.archinnov.achilles.it.TestEntityWithIndicesForJSON,should_query_using_map_key_value_fromJSON,0.25
Achilles,info.archinnov.achilles.it.TestEntityWithIndicesForJSON,should_query_using_simple_index_fromJSON,0.249
Achilles,info.archinnov.achilles.it.TestEntityWithIndicesForJSON,should_query_using_map_key_index_fromJSON,0.384
Achilles,info.archinnov.achilles.it.TestEntityWithIndicesForJSON,should_query_using_collection_index_fromJSON,0.449
Achilles,info.archinnov.achilles.it.TestFunctionCallsSimpleEntity,should_dsl_with_udf_call,16.281
Achilles,info.archinnov.achilles.it.TestFunctionCallsSimpleEntity,should_call_user_defined_functions,0.776
Achilles,info.archinnov.achilles.it.TestFunctionCallsSimpleEntity,should_fail_call_writetime_on_another_function_call,0.317
Achilles,info.archinnov.achilles.it.TestFunctionCallsSimpleEntity,should_dsl_with_nested_system_function_call,0.377
Achilles,info.archinnov.achilles.it.TestFunctionCallsSimpleEntity,should_dsl_with_system_function_call,0.225
Achilles,info.archinnov.achilles.it.TestJSONCall,should_select_json_star,14.302
Achilles,info.archinnov.achilles.it.TestJSONCall,should_select_allJSON,0.304
Achilles,info.archinnov.achilles.it.TestJSONCall,should_delete_using_fromJson,0.436
Achilles,info.archinnov.achilles.it.TestJSONCall,should_insert_json_if_not_exists,0.187
Achilles,info.archinnov.achilles.it.TestJSONCall,should_select_toJson,0.447
Achilles,info.archinnov.achilles.it.TestJSONCall,should_update_using_fromJson,0.329
Achilles,info.archinnov.achilles.it.TestJSONCall,should_insert_json,0.126
Achilles,info.archinnov.achilles.internals.parser.EntityParserTest,should_generate_meta_signature_for_complex_types_javac,3.696
Achilles,info.archinnov.achilles.internals.parser.EntityParserTest,should_fail_because_no_matching_field_name_for_immutable_constructor_param_javac,0.204
Achilles,info.archinnov.achilles.internals.parser.EntityParserTest,should_fail_because_incorrect_field_type_for_declared_constructor_param_javac,0.14
Achilles,info.archinnov.achilles.internals.parser.EntityParserTest,should_fail_because_incorrect_field_type_for_constructor_param_javac,0.085
Achilles,info.archinnov.achilles.internals.parser.EntityParserTest,should_fail_because_incorrect_field_type_for_immutable_constructor_param_javac,0.073
Achilles,info.archinnov.achilles.internals.parser.EntityParserTest,should_generate_meta_signature_for_immutable_entity_javac,0.187
Achilles,info.archinnov.achilles.internals.parser.EntityParserTest,should_generate_meta_signature_for_complex_types_ecj,0.0
Achilles,info.archinnov.achilles.internals.parser.EntityParserTest,should_fail_because_no_matching_field_name_for_declared_constructor_param_javac,0.087
Achilles,info.archinnov.achilles.internals.parser.EntityParserTest,should_fail_because_no_matching_field_name_for_constructor_param_javac,0.085
Achilles,info.archinnov.achilles.internals.parser.EntityParserTest,should_generate_meta_signature_for_view_javac,0.151
Achilles,info.archinnov.achilles.internals.parser.EntityParserTest,should_fail_because_not_public_final_field_type_for_immutable_constructor_param_javac,0.071
Achilles,info.archinnov.achilles.internals.parser.EntityParserTest,should_generate_meta_signature_for_view_ecj,0.0
Achilles,info.archinnov.achilles.internals.parser.FunctionParserTest,should_fail_parsing_validating_nested_types,2.362
Achilles,info.archinnov.achilles.internals.parser.FunctionParserTest,should_fail_parsing_function_with_blank_keyspace,0.099
Achilles,info.archinnov.achilles.internals.parser.FunctionParserTest,should_fail_parsing_function_forbidden_function_name,0.13
