project,testClassName,testMethodName,testLength,numAsserts,numCoveredLines
Achilles,info.archinnov.achilles.it.TestFunctionCallsSimpleEntity,should_fail_call_writetime_on_another_function_call,22,0,0
Achilles,info.archinnov.achilles.it.TestDynamicKeyspaceWithUDTJSON,should_crud_delete_json_with_dynamic_ks,20,1,3
Achilles,info.archinnov.achilles.it.TestEntityWithIndicesForJSON,should_query_using_index_and_clustering_column_fromJSON,21,2,0
Achilles,info.archinnov.achilles.it.TestFunctionCallsSimpleEntity,should_call_user_defined_functions,31,3,0
Achilles,info.archinnov.achilles.it.TestJSONCall,should_insert_json,23,5,0
Achilles,info.archinnov.achilles.it.TestJSONCall,should_delete_using_fromJson,22,1,0
Achilles,info.archinnov.achilles.it.TestJSONCall,should_select_allJSON,21,1,0
Achilles,info.archinnov.achilles.it.TestJSONCall,should_select_json_star,22,1,0
Achilles,info.archinnov.achilles.it.TestFunctionCallsSimpleEntity,should_dsl_with_nested_system_function_call,23,3,0
Achilles,info.archinnov.achilles.it.TestDynamicKeyspaceWithUDTJSON,should_crud_insert_json_with_dynamic_ks,15,1,1
Achilles,info.archinnov.achilles.it.TestEntityWithIndicesForJSON,should_query_using_full_collection_index_fromJSON,19,2,0
Achilles,info.archinnov.achilles.it.TestJSONCall,should_update_using_fromJson,30,5,0
Achilles,info.archinnov.achilles.it.TestEntityWithIndicesForJSON,should_query_using_map_key_entry_fromJSON,19,2,0
Achilles,info.archinnov.achilles.it.TestEntityWithIndicesForJSON,should_query_using_index_and_partition_key_asJSON,20,2,0
Achilles,info.archinnov.achilles.it.TestFunctionCallsSimpleEntity,should_dsl_with_system_function_call,29,6,0
Achilles,info.archinnov.achilles.it.TestEntityWithIndicesForJSON,should_query_using_map_key_index_fromJSON,19,2,0
Achilles,info.archinnov.achilles.it.TestEntityWithIndicesForJSON,should_query_using_map_key_value_fromJSON,19,2,0
Achilles,info.archinnov.achilles.it.TestEntityWithIndicesForJSON,should_query_using_simple_index_fromJSON,19,2,0
Achilles,info.archinnov.achilles.it.TestDynamicKeyspaceWithUDTJSON,should_crud_select_json_with_dynamic_ks,19,1,1
Achilles,info.archinnov.achilles.it.TestJSONCall,should_select_toJson,21,2,0
Achilles,info.archinnov.achilles.it.TestJSONCall,should_insert_json_if_not_exists,42,6,0
Achilles,info.archinnov.achilles.it.TestEntityWithIndicesForJSON,should_query_using_collection_index_fromJSON,19,2,0
Achilles,info.archinnov.achilles.it.TestFunctionCallsSimpleEntity,should_dsl_with_udf_call,23,3,0
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_entity_with_counter_column,14,1,27
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_computed_field_with_codec,20,2,14
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_fail_building_class_with_wrong_composite_partition_key_order,13,0,18
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_generate_field_info_for_primitiveBoolean,18,1,7
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_jdk8_zoned_date_time,19,2,15
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_tuple_nesting,18,2,17
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_fail_if_partition_key_order_zero,16,0,6
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_fail_on_invalidWildCard,10,2,8
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_entity_with_clustering_column,14,1,19
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_inherited_entity,14,1,19
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_fail_if_clustering_column_order_zero,16,0,5
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_fail_if_both_partition_and_clustering_column,16,0,10
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_fail_building_view_meta_with_counter_column,14,0,29
Achilles,info.archinnov.achilles.internals.parser.AnnotationTreeTest,should_build_trees_map_for_level1_nesting_javac,44,8,3
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_fail_building_map_with_multiple_indices,17,0,9
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_validate_index_depth_2,14,0,6
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_validate_index_depth_1,14,0,5
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_fail_for_non_frozen_list_udt,18,0,5
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_list_index_info,16,1,8
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_computed_column_info,18,1,10
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_entity_with_computed_column,14,1,38
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_not_fail_for_non_frozen_tuple_list,14,0,4
Achilles,info.archinnov.achilles.internals.parser.EntityParserTest,should_generate_meta_signature_for_view_javac,21,1,18
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_fail_building_class_with_wrong_clustering_column_order,13,0,18
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_non_frozen_nested_udt,23,0,9
Achilles,info.archinnov.achilles.internals.parser.FunctionParserTest,should_parse_functions_with_complex_return_types_javac,135,75,7
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_clustering_column_type,15,1,11
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_entity_with_simple_partition_key,14,1,19
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_fail_validating_index_depth_gt_2,15,0,5
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_fail_building_class_with_no_public_constructor,13,0,27
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_runtime_codec,20,2,13
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_analyzed_but_not_string,26,0,19
Achilles,info.archinnov.achilles.internals.codegen.meta.UDTMetaCodeGenTest,should_generate_udt_property_class,20,1,15
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_not_fail_for_non_frozen_list_tuple,14,0,5
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_validate_objectByte,5,0,4
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_on_map,24,0,20
Achilles,info.archinnov.achilles.internals.parser.CodecFactoryTest,should_create_native_codec_for_counter,18,3,13
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_map_nesting,18,2,17
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_standardAnalyzer_But_SPARSE,24,0,19
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_map_key_index_info,18,1,8
Achilles,info.archinnov.achilles.internals.parser.validator.cassandra3_0.BeanValidator3_0Test,should_fail_validating_view_because_column_not_in_base,13,0,13
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_not_fail_for_non_frozen_map_tupleValue,14,0,5
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_fail_on_invalidLowerBound,10,2,8
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_jdk8_local_date,19,2,15
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_SPARSE_But_String,24,0,18
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_partition_column_type,15,1,12
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_entity_with_custom_constructor_with_declared_fields,18,1,22
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_entity_with_complex_counter_types,14,1,16
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_not_fail_for_non_frozen_tuple_tupleValue,14,0,4
