project,testClassName,testMethodName,assertion-roulette,conditional-test-logic,eager-test,fire-and-forget,indirect-testing,mystery-guest,resource-optimism,test-run-war,Unnamed: 11
Achilles,info.archinnov.achilles.it.TestJSONCall,should_select_json_star,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.it.TestFunctionCallsSimpleEntity,should_fail_call_writetime_on_another_function_call,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.it.TestJSONCall,should_update_using_fromJson,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.it.TestDynamicKeyspaceWithUDTJSON,should_crud_delete_json_with_dynamic_ks,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.it.TestFunctionCallsSimpleEntity,should_dsl_with_nested_system_function_call,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.it.TestEntityWithIndicesForJSON,should_query_using_full_collection_index_fromJSON,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.it.TestDynamicKeyspaceWithUDTJSON,should_crud_insert_json_with_dynamic_ks,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.it.TestEntityWithIndicesForJSON,should_query_using_index_and_partition_key_asJSON,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.it.TestFunctionCallsSimpleEntity,should_call_user_defined_functions,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.it.TestFunctionCallsSimpleEntity,should_dsl_with_system_function_call,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.it.TestEntityWithIndicesForJSON,should_query_using_map_key_entry_fromJSON,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.it.TestJSONCall,should_insert_json_if_not_exists,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.it.TestDynamicKeyspaceWithUDTJSON,should_crud_select_json_with_dynamic_ks,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.it.TestEntityWithIndicesForJSON,should_query_using_collection_index_fromJSON,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.it.TestJSONCall,should_select_toJson,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.it.TestJSONCall,should_delete_using_fromJson,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.it.TestEntityWithIndicesForJSON,should_query_using_map_key_value_fromJSON,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.it.TestEntityWithIndicesForJSON,should_query_using_simple_index_fromJSON,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.it.TestJSONCall,should_select_allJSON,0,0,0,0,0,0,0,0,
