project,testClassName,testMethodName,test_name,flaky,assertion-roulette,conditional-test-logic,eager-test,fire-and-forget,indirect-testing,mystery-guest,resource-optimism,test-run-war,ExecutionTime,testLength,numAsserts,numCoveredLines,projectSourceLinesCovered,projectSourceClassesCovered,hIndexModificationsPerCoveredLine_window5,hIndexModificationsPerCoveredLine_window10,hIndexModificationsPerCoveredLine_window25,hIndexModificationsPerCoveredLine_window50,hIndexModificationsPerCoveredLine_window75,hIndexModificationsPerCoveredLine_window100,hIndexModificationsPerCoveredLine_window500,hIndexModificationsPerCoveredLine_window10000,num_third_party_libs
Achilles,info.archinnov.achilles.it.TestJSONCall,should_select_json_star,info.archinnov.achilles.it.TestJSONCall.should_select_json_star,0,0,0,0,0,0,0,0,0,14.302,22,1,0,7,1,0,0,0,0,0,0,1,1,
Achilles,info.archinnov.achilles.it.TestFunctionCallsSimpleEntity,should_fail_call_writetime_on_another_function_call,info.archinnov.achilles.it.TestFunctionCallsSimpleEntity.should_fail_call_writetime_on_another_function_call,0,0,0,0,0,0,0,0,0,0.317,22,0,0,8,1,0,0,0,0,0,0,2,2,
Achilles,info.archinnov.achilles.it.TestJSONCall,should_update_using_fromJson,info.archinnov.achilles.it.TestJSONCall.should_update_using_fromJson,0,1,0,0,0,0,0,0,0,0.329,30,5,0,7,1,0,0,0,0,0,0,1,1,
Achilles,info.archinnov.achilles.it.TestDynamicKeyspaceWithUDTJSON,should_crud_delete_json_with_dynamic_ks,info.archinnov.achilles.it.TestDynamicKeyspaceWithUDTJSON.should_crud_delete_json_with_dynamic_ks,0,0,0,0,0,0,0,0,0,15.308,20,1,3,11,3,0,0,0,0,0,0,1,1,
Achilles,info.archinnov.achilles.it.TestFunctionCallsSimpleEntity,should_dsl_with_nested_system_function_call,info.archinnov.achilles.it.TestFunctionCallsSimpleEntity.should_dsl_with_nested_system_function_call,0,1,0,0,0,0,0,0,0,0.377,23,3,0,7,1,0,0,0,0,0,0,2,2,
Achilles,info.archinnov.achilles.it.TestEntityWithIndicesForJSON,should_query_using_full_collection_index_fromJSON,info.archinnov.achilles.it.TestEntityWithIndicesForJSON.should_query_using_full_collection_index_fromJSON,0,1,0,0,0,0,0,0,0,0.408,19,2,0,6,2,0,0,0,0,0,0,1,1,
Achilles,info.archinnov.achilles.it.TestDynamicKeyspaceWithUDTJSON,should_crud_insert_json_with_dynamic_ks,info.archinnov.achilles.it.TestDynamicKeyspaceWithUDTJSON.should_crud_insert_json_with_dynamic_ks,0,0,0,0,0,0,0,0,0,0.301,15,1,1,6,2,0,0,0,0,0,0,1,1,
Achilles,info.archinnov.achilles.it.TestEntityWithIndicesForJSON,should_query_using_index_and_partition_key_asJSON,info.archinnov.achilles.it.TestEntityWithIndicesForJSON.should_query_using_index_and_partition_key_asJSON,0,1,0,0,0,0,0,0,0,16.774,20,2,0,6,1,0,0,0,0,0,0,1,1,
Achilles,info.archinnov.achilles.it.TestFunctionCallsSimpleEntity,should_call_user_defined_functions,info.archinnov.achilles.it.TestFunctionCallsSimpleEntity.should_call_user_defined_functions,0,1,0,0,0,0,0,0,0,0.776,31,3,0,7,1,0,0,0,0,0,0,2,2,
Achilles,info.archinnov.achilles.it.TestFunctionCallsSimpleEntity,should_dsl_with_system_function_call,info.archinnov.achilles.it.TestFunctionCallsSimpleEntity.should_dsl_with_system_function_call,0,1,0,0,0,0,0,0,0,0.225,29,6,0,7,1,0,0,0,0,0,0,2,2,
Achilles,info.archinnov.achilles.it.TestEntityWithIndicesForJSON,should_query_using_map_key_entry_fromJSON,info.archinnov.achilles.it.TestEntityWithIndicesForJSON.should_query_using_map_key_entry_fromJSON,0,1,0,0,0,0,0,0,0,0.449,19,2,0,6,2,0,0,0,0,0,0,1,1,
Achilles,info.archinnov.achilles.it.TestJSONCall,should_insert_json_if_not_exists,info.archinnov.achilles.it.TestJSONCall.should_insert_json_if_not_exists,0,1,0,0,0,0,0,0,0,0.187,42,6,0,10,2,0,0,0,0,0,0,1,1,
Achilles,info.archinnov.achilles.it.TestDynamicKeyspaceWithUDTJSON,should_crud_select_json_with_dynamic_ks,info.archinnov.achilles.it.TestDynamicKeyspaceWithUDTJSON.should_crud_select_json_with_dynamic_ks,0,0,0,0,0,0,0,0,0,0.447,19,1,1,7,3,0,0,0,0,0,0,1,1,
Achilles,info.archinnov.achilles.it.TestEntityWithIndicesForJSON,should_query_using_collection_index_fromJSON,info.archinnov.achilles.it.TestEntityWithIndicesForJSON.should_query_using_collection_index_fromJSON,0,1,0,0,0,0,0,0,0,0.449,19,2,0,6,2,0,0,0,0,0,0,1,1,
Achilles,info.archinnov.achilles.it.TestJSONCall,should_select_toJson,info.archinnov.achilles.it.TestJSONCall.should_select_toJson,0,1,0,0,0,0,0,0,0,0.447,21,2,0,7,1,0,0,0,0,0,0,1,1,
Achilles,info.archinnov.achilles.it.TestJSONCall,should_delete_using_fromJson,info.archinnov.achilles.it.TestJSONCall.should_delete_using_fromJson,0,0,0,0,0,0,0,0,0,0.436,22,1,0,7,1,0,0,0,0,0,0,1,1,
Achilles,info.archinnov.achilles.it.TestEntityWithIndicesForJSON,should_query_using_map_key_value_fromJSON,info.archinnov.achilles.it.TestEntityWithIndicesForJSON.should_query_using_map_key_value_fromJSON,0,1,0,0,0,0,0,0,0,0.25,19,2,0,6,2,0,0,0,0,0,0,1,1,
Achilles,info.archinnov.achilles.it.TestEntityWithIndicesForJSON,should_query_using_simple_index_fromJSON,info.archinnov.achilles.it.TestEntityWithIndicesForJSON.should_query_using_simple_index_fromJSON,0,1,0,0,0,0,0,0,0,0.249,19,2,0,6,2,0,0,0,0,0,0,1,1,
Achilles,info.archinnov.achilles.it.TestJSONCall,should_select_allJSON,info.archinnov.achilles.it.TestJSONCall.should_select_allJSON,0,0,0,0,0,0,0,0,0,0.304,21,1,0,7,1,0,0,0,0,0,0,1,1,
Achilles,info.archinnov.achilles.it.TestEntityWithIndicesForJSON,should_query_using_map_key_index_fromJSON,info.archinnov.achilles.it.TestEntityWithIndicesForJSON.should_query_using_map_key_index_fromJSON,0,1,0,0,0,0,0,0,0,0.384,19,2,0,6,2,0,0,0,0,0,0,1,1,
Achilles,info.archinnov.achilles.it.TestEntityWithIndicesForJSON,should_query_using_index_and_clustering_column_fromJSON,info.archinnov.achilles.it.TestEntityWithIndicesForJSON.should_query_using_index_and_clustering_column_fromJSON,0,1,0,0,0,0,0,0,0,0.354,21,2,0,7,2,0,0,0,0,0,0,1,1,
Achilles,info.archinnov.achilles.it.TestFunctionCallsSimpleEntity,should_dsl_with_udf_call,info.archinnov.achilles.it.TestFunctionCallsSimpleEntity.should_dsl_with_udf_call,0,1,0,0,0,0,0,0,0,16.281,23,3,0,7,1,0,0,0,0,0,0,2,2,
Achilles,info.archinnov.achilles.it.TestJSONCall,should_insert_json,info.archinnov.achilles.it.TestJSONCall.should_insert_json,0,1,0,0,0,0,0,0,0,0.126,23,5,0,8,1,0,0,0,0,0,0,1,1,
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_fail_building_view_meta_without_view_annotation,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest.should_fail_building_view_meta_without_view_annotation,0,0,0,0,0,0,0,0,0,0.046,14,0,22,100,35,0,0,0,0,0,1,3,3,13.0
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_standardAnalyzer_But_NotAnalyzed,info.archinnov.achilles.internals.parser.FieldParserTest.should_fail_parsing_SASI_standardAnalyzer_But_NotAnalyzed,0,0,0,0,0,0,0,0,0,0.05,24,0,20,111,36,0,0,0,0,0,1,3,3,17.0
