project,sha,url,subproject,result,test_count,flaky_count
Achilles,3ef293744f913c1aa8cf59d2fdd78f46a5e2f79f,git@github.com:doanduyhai/Achilles.git,,mvn failure,,
ambari,400a37ab0b6636a5476461e731f43c085a5b8cfc,git@github.com:apache/ambari.git,./ambari-agent,error,,
ambari,400a37ab0b6636a5476461e731f43c085a5b8cfc,git@github.com:apache/ambari.git,./ambari-project,error,,
ambari,400a37ab0b6636a5476461e731f43c085a5b8cfc,git@github.com:apache/ambari.git,./docs,error,,
ambari,400a37ab0b6636a5476461e731f43c085a5b8cfc,git@github.com:apache/ambari.git,./ambari-server,success,590,128
assertj-core,aa90c2d3a757b67f6bd64ca82f9b9f15b1e1161c,git@github.com:joel-costigliola/assertj-core.git,.,success,6649,1
commons-exec,59a147cb8d6ae25c19bd3ade20f8920e92c264ce,git@github.com:apache/commons-exec.git,.,success,95,0
dropwizard,01124252c3c86241eebf16f3a3d8989a2bc24e0f,git@github.com:dropwizard/dropwizard.git,./docs,error,,
dropwizard,01124252c3c86241eebf16f3a3d8989a2bc24e0f,git@github.com:dropwizard/dropwizard.git,./dropwizard-forms,error,,
dropwizard,01124252c3c86241eebf16f3a3d8989a2bc24e0f,git@github.com:dropwizard/dropwizard.git,./dropwizard-util,success,57,0
dropwizard,01124252c3c86241eebf16f3a3d8989a2bc24e0f,git@github.com:dropwizard/dropwizard.git,.,error,,
hadoop,2ce817aecf38c5e8aafbd7e2b5da08f01b2d50e6,git@github.com:apache/hadoop.git,,mvn failure,,
hbase,49aee06f9311f28bd2510fb36b2b97a86b4c4333,git@github.com:apache/hbase.git,.,success,437,0
hector,9750f381caa386878ef3eb5509fd7594de8fe1ad,git@github.com:hector-client/hector.git,./core,success,117,78
hector,9750f381caa386878ef3eb5509fd7594de8fe1ad,git@github.com:hector-client/hector.git,./object-mapper,success,23,5
hector,9750f381caa386878ef3eb5509fd7594de8fe1ad,git@github.com:hector-client/hector.git,.,error,,
httpcore,3a836a2d779e29495c1348c900aae91572b44d2a,git@github.com:apache/httpcore.git,./httpcore,success,549,1
httpcore,3a836a2d779e29495c1348c900aae91572b44d2a,git@github.com:apache/httpcore.git,./httpcore-ab,error,,
httpcore,3a836a2d779e29495c1348c900aae91572b44d2a,git@github.com:apache/httpcore.git,./httpcore-benchmark,error,,
httpcore,3a836a2d779e29495c1348c900aae91572b44d2a,git@github.com:apache/httpcore.git,./httpcore-contrib,error,,
httpcore,3a836a2d779e29495c1348c900aae91572b44d2a,git@github.com:apache/httpcore.git,./httpcore-nio,error,,
httpcore,3a836a2d779e29495c1348c900aae91572b44d2a,git@github.com:apache/httpcore.git,./httpcore-osgi,error,,
httpcore,3a836a2d779e29495c1348c900aae91572b44d2a,git@github.com:apache/httpcore.git,.,error,,
jackrabbit-oak,a567971d5a1ea2787cf949d87c75c9b2b297d93b,git@github.com:apache/jackrabbit-oak.git,./oak-api,success,5,0
jackrabbit-oak,a567971d5a1ea2787cf949d87c75c9b2b297d93b,git@github.com:apache/jackrabbit-oak.git,./oak-doc,error,,
jackrabbit-oak,a567971d5a1ea2787cf949d87c75c9b2b297d93b,git@github.com:apache/jackrabbit-oak.git,./oak-parent,error,,
jimfs,c8d06404ce478c31bab4aa6f25166e08ab57d3f7,git@github.com:google/jimfs.git,./jimfs,success,728,0
jimfs,c8d06404ce478c31bab4aa6f25166e08ab57d3f7,git@github.com:google/jimfs.git,.,error,,
logback,16a26fdc6e144de18ee8805724ec7341d3bf06f3,git@github.com:qos-ch/logback.git,./logback-core,success,508,2
logback,16a26fdc6e144de18ee8805724ec7341d3bf06f3,git@github.com:qos-ch/logback.git,./logback-site,error,,
logback,16a26fdc6e144de18ee8805724ec7341d3bf06f3,git@github.com:qos-ch/logback.git,.,error,,
ninja,28d0b5f692d1e73e62ff9556d2dea1e4560d6bc7,git@github.com:ninjaframework/ninja.git,./ninja-core,success,265,0
ninja,28d0b5f692d1e73e62ff9556d2dea1e4560d6bc7,git@github.com:ninjaframework/ninja.git,./ninja-maven-plugin,success,3,0
ninja,28d0b5f692d1e73e62ff9556d2dea1e4560d6bc7,git@github.com:ninjaframework/ninja.git,./ninja-servlet,success,28,0
ninja,28d0b5f692d1e73e62ff9556d2dea1e4560d6bc7,git@github.com:ninjaframework/ninja.git,./ninja-servlet-archetype-simple,error,,
ninja,28d0b5f692d1e73e62ff9556d2dea1e4560d6bc7,git@github.com:ninjaframework/ninja.git,./ninja-servlet-integration-test,success,41,0
ninja,28d0b5f692d1e73e62ff9556d2dea1e4560d6bc7,git@github.com:ninjaframework/ninja.git,./ninja-servlet-jpa-blog-archetype,error,,
ninja,28d0b5f692d1e73e62ff9556d2dea1e4560d6bc7,git@github.com:ninjaframework/ninja.git,./ninja-servlet-jpa-blog-integration-test,success,12,1
ninja,28d0b5f692d1e73e62ff9556d2dea1e4560d6bc7,git@github.com:ninjaframework/ninja.git,./ninja-standalone,error,,
ninja,28d0b5f692d1e73e62ff9556d2dea1e4560d6bc7,git@github.com:ninjaframework/ninja.git,./ninja-test-utilities,error,,
