project,sha,url,subproject,runtime
commons-exec,59a147cb8d6ae25c19bd3ade20f8920e92c264ce,git@github.com:apache/commons-exec.git,.,4558
jackrabbit-oak,a567971d5a1ea2787cf949d87c75c9b2b297d93b,git@github.com:apache/jackrabbit-oak.git,oak-api,44
jackrabbit-oak,a567971d5a1ea2787cf949d87c75c9b2b297d93b,git@github.com:apache/jackrabbit-oak.git,oak-auth-external,6
jackrabbit-oak,a567971d5a1ea2787cf949d87c75c9b2b297d93b,git@github.com:apache/jackrabbit-oak.git,oak-auth-ldap,5
jackrabbit-oak,a567971d5a1ea2787cf949d87c75c9b2b297d93b,git@github.com:apache/jackrabbit-oak.git,oak-authorization-cug,5
jackrabbit-oak,a567971d5a1ea2787cf949d87c75c9b2b297d93b,git@github.com:apache/jackrabbit-oak.git,oak-authorization-principalbased,5
jackrabbit-oak,a567971d5a1ea2787cf949d87c75c9b2b297d93b,git@github.com:apache/jackrabbit-oak.git,oak-benchmarks,5
jackrabbit-oak,a567971d5a1ea2787cf949d87c75c9b2b297d93b,git@github.com:apache/jackrabbit-oak.git,oak-benchmarks-elastic,2
jackrabbit-oak,a567971d5a1ea2787cf949d87c75c9b2b297d93b,git@github.com:apache/jackrabbit-oak.git,oak-benchmarks-lucene,2
jackrabbit-oak,a567971d5a1ea2787cf949d87c75c9b2b297d93b,git@github.com:apache/jackrabbit-oak.git,oak-benchmarks-solr,2
jackrabbit-oak,a567971d5a1ea2787cf949d87c75c9b2b297d93b,git@github.com:apache/jackrabbit-oak.git,oak-blob,5
jackrabbit-oak,a567971d5a1ea2787cf949d87c75c9b2b297d93b,git@github.com:apache/jackrabbit-oak.git,oak-blob-cloud,5
jackrabbit-oak,a567971d5a1ea2787cf949d87c75c9b2b297d93b,git@github.com:apache/jackrabbit-oak.git,oak-blob-cloud-azure,5
jackrabbit-oak,a567971d5a1ea2787cf949d87c75c9b2b297d93b,git@github.com:apache/jackrabbit-oak.git,oak-blob-plugins,6
jackrabbit-oak,a567971d5a1ea2787cf949d87c75c9b2b297d93b,git@github.com:apache/jackrabbit-oak.git,oak-commons,3
jackrabbit-oak,a567971d5a1ea2787cf949d87c75c9b2b297d93b,git@github.com:apache/jackrabbit-oak.git,oak-core,6
jackrabbit-oak,a567971d5a1ea2787cf949d87c75c9b2b297d93b,git@github.com:apache/jackrabbit-oak.git,oak-core-spi,7
jackrabbit-oak,a567971d5a1ea2787cf949d87c75c9b2b297d93b,git@github.com:apache/jackrabbit-oak.git,oak-doc,6
jackrabbit-oak,a567971d5a1ea2787cf949d87c75c9b2b297d93b,git@github.com:apache/jackrabbit-oak.git,oak-doc-railroad-macro,2
jackrabbit-oak,a567971d5a1ea2787cf949d87c75c9b2b297d93b,git@github.com:apache/jackrabbit-oak.git,oak-examples,1
jackrabbit-oak,a567971d5a1ea2787cf949d87c75c9b2b297d93b,git@github.com:apache/jackrabbit-oak.git,oak-examples/standalone,2
jackrabbit-oak,a567971d5a1ea2787cf949d87c75c9b2b297d93b,git@github.com:apache/jackrabbit-oak.git,oak-examples/webapp,2
jackrabbit-oak,a567971d5a1ea2787cf949d87c75c9b2b297d93b,git@github.com:apache/jackrabbit-oak.git,oak-exercise,6
jackrabbit-oak,a567971d5a1ea2787cf949d87c75c9b2b297d93b,git@github.com:apache/jackrabbit-oak.git,oak-http,3
jackrabbit-oak,a567971d5a1ea2787cf949d87c75c9b2b297d93b,git@github.com:apache/jackrabbit-oak.git,oak-it,4
jackrabbit-oak,a567971d5a1ea2787cf949d87c75c9b2b297d93b,git@github.com:apache/jackrabbit-oak.git,oak-it-osgi,4
